iter	Passed	Remaining
161	217	1126
162	218	1124
163	220	1122
164	221	1121
165	223	1120
166	224	1118
167	225	1116
168	226	1113
169	227	1111
170	228	1109
171	230	1107
172	231	1105
173	232	1105
174	234	1103
175	235	1101
176	236	1099
177	237	1098
178	239	1097
179	240	1095
180	241	1093
181	242	1091
182	244	1089
183	245	1088
184	246	1086
185	248	1085
186	249	1085
187	250	1083
188	252	1085
189	254	1083
190	255	1082
191	256	1080
192	257	1078
193	259	1076
194	260	1074
195	261	1072
196	262	1070
197	263	1068
198	265	1068
199	266	1067
200	268	1065
201	269	1064
202	270	1062
203	272	1062
204	273	1061
205	274	1059
206	276	1058
207	277	1056
208	279	1056
209	280	1056
210	282	1054
211	283	1053
212	284	1051
213	285	1050
214	287	1048
215	288	1047
216	289	1046
217	291	1044
218	292	1044
219	294	1043
220	296	1045
221	297	1043
222	298	1041
223	300	1039
224	301	1037
225	302	1036
226	303	1034
227	304	1032
228	306	1030
229	307	1028
230	308	1026
231	309	1025
232	310	1023
233	312	1021
234	313	1019
235	314	1018
236	315	1016
237	317	1015
238	318	1013
239	319	1011
240	320	1009
241	322	1008
242	323	1007
243	324	1005
244	325	1003
245	326	1001
246	328	1001
247	330	1001
248	331	1000
249	332	998
250	334	997
251	335	995
252	336	993
253	338	993
254	339	991
255	340	990
256	342	989
257	343	988
258	344	986
259	346	985
260	347	984
261	348	982
262	350	981
263	351	979
264	352	977
265	353	975
266	354	973
267	355	972
268	357	970
269	358	968
270	359	967
271	361	967
272	363	967
273	364	966
274	365	964
275	367	963
276	369	963
277	370	962
278	371	961
279	373	959
280	374	958
281	376	958
282	377	957
283	379	956
284	380	954
285	382	954
286	383	952
287	384	950
288	386	950
289	387	948
290	388	947
291	389	945
292	390	943
293	392	941
294	393	939
295	394	939
296	396	938
297	398	937
298	400	938
299	401	937
300	402	935
301	404	934
302	405	933
303	406	931
304	408	929
305	409	928
306	410	927
307	412	926
308	413	924
309	414	922
310	415	920
311	416	919
312	417	916
313	419	915
314	420	914
315	422	913
316	423	912
317	424	910
318	426	909
319	427	908
320	428	907
321	429	905
322	431	903
323	432	902
324	433	901
325	435	899
326	436	898
327	437	897
328	439	895
329	440	894
330	441	893
331	443	891
332	444	890
333	445	889
334	447	887
335	448	887
336	450	885
337	451	883
338	452	882
339	453	880
340	454	879
341	456	879
342	458	878
343	460	877
344	461	876
345	466	881
346	467	879
347	468	878
348	469	876
349	471	874
350	472	873
351	473	871
352	474	870
353	476	868
354	477	867
355	478	865
356	479	864
357	481	862
358	482	861
359	483	859
360	484	858
361	485	856
362	487	854
363	488	853
364	489	852
365	491	851
366	493	850
367	494	849
368	496	848
369	497	847
370	498	845
371	499	844
372	501	842
373	502	841
374	503	839
375	505	838
376	506	837
377	508	836
378	509	835
379	511	834
380	512	833
381	514	832
382	515	831
383	517	829
384	519	829
385	520	828
386	522	826
387	523	826
388	525	824
389	527	824
390	528	823
391	530	822
392	531	821
393	533	820
394	534	818
395	536	817
396	537	816
397	538	814
398	540	814
399	542	813
400	543	812
401	544	810
402	546	808
403	547	807
404	548	805
405	549	804
406	550	802
407	551	800
408	553	799
409	554	797
410	555	796
411	556	794
412	557	793
413	559	791
414	560	790
415	562	789
416	563	787
417	564	786
418	565	784
419	567	783
420	568	781
421	569	780
422	570	778
423	571	776
424	573	776
425	575	775
426	577	774
427	578	772
428	579	771
429	581	770
430	582	768
431	583	767
432	584	765
433	585	764
434	587	762
435	588	761
436	589	759
437	590	758
438	592	756
439	593	755
440	595	754
441	596	753
442	598	752
443	600	751
444	601	750
445	602	748
446	603	747
447	605	745
448	606	743
449	607	742
450	608	740
451	610	740
452	612	739
453	613	737
454	614	736
455	616	735
456	617	733
457	618	732
458	620	730
459	621	729
460	623	728
461	624	727
462	626	726
463	627	724
464	628	722
465	629	721
466	631	720
467	632	718
468	633	717
469	634	715
470	636	714
471	637	713
472	639	712
473	641	711
474	642	710
475	644	709
476	645	708
477	646	706
478	648	705
479	649	704
480	651	702
481	652	700
482	653	699
483	654	697
484	655	696
485	656	694
486	658	693
487	659	692
488	661	691
489	662	690
490	664	688
491	665	687
492	667	686
493	668	684
494	669	683
495	670	681
496	672	680
497	674	680
498	676	678
499	677	677
500	678	676
501	680	674
502	682	674
503	683	672
504	685	671
505	686	670
506	687	668
507	689	667
508	690	665
509	691	664
510	692	662
511	693	661
512	695	660
513	697	659
514	698	657
515	699	656
516	701	654
517	702	653
518	703	652
519	705	651
520	707	650
521	708	648
522	709	647
523	710	645
524	712	644
525	713	642
526	714	641
527	715	639
528	716	638
529	718	636
530	720	636
531	721	635
532	723	634
533	726	633
534	727	632
535	728	630
536	729	629
537	731	628
538	733	626
539	734	625
540	735	624
541	736	622
542	738	621
543	739	619
544	740	618
545	741	616
546	742	615
547	744	613
548	745	612
549	746	610
550	747	609
551	749	607
552	750	606
553	751	605
554	752	603
555	754	602
556	756	601
557	757	600
558	758	598
559	760	597
560	761	595
561	763	594
562	764	593
563	765	591
564	767	590
565	769	589
566	770	588
567	772	587
568	773	585
569	774	584
570	776	583
571	778	582
572	779	580
573	780	579
574	782	578
575	783	576
576	784	575
577	785	573
578	786	572
579	788	570
580	789	569
581	790	568
582	792	566
583	793	565
584	794	563
585	796	562
586	798	561
587	799	560
588	800	558
589	802	557
590	803	556
591	805	555
592	806	553
593	808	552
594	809	551
595	811	550
596	812	548
597	814	547
598	815	546
599	816	544
600	818	543
601	819	541
602	820	540
603	821	538
604	823	537
605	824	536
606	826	535
607	828	534
608	830	532
609	831	531
610	832	530
611	833	528
612	835	527
613	836	525
614	837	524
615	838	522
616	840	521
617	841	520
618	842	518
619	844	517
620	845	516
621	847	514
622	848	513
623	849	511
624	850	510
625	852	509
626	853	507
627	854	506
628	855	504
629	857	503
630	858	502
631	859	500
632	861	499
633	862	497
634	863	496
635	864	494
636	865	493
637	867	492
638	868	490
639	869	489
640	870	487
641	871	486
642	873	484
643	874	483
644	875	482
645	876	480
646	878	479
647	879	477
648	880	476
649	881	474
650	883	473
651	884	472
652	885	470
653	887	469
654	888	467
655	889	466
656	891	465
657	892	463
658	893	462
659	895	461
660	896	459
661	897	458
662	898	456
663	900	455
664	901	454
665	903	453
666	904	451
667	906	450
668	907	448
669	908	447
670	910	446
671	911	444
672	912	443
673	914	442
674	915	440
675	916	439
676	917	437
677	918	436
678	920	434
679	921	433
680	922	432
681	924	430
682	925	429
683	926	428
684	927	426
685	929	425
686	930	423
687	931	422
688	932	421
689	933	419
690	935	418
691	936	416
692	937	415
693	938	414
694	940	412
695	941	411
696	942	409
697	944	408
698	945	407
699	946	405
700	948	404
701	949	403
702	950	401
703	952	400
704	953	398
705	954	397
706	955	396
707	957	394
708	958	393
709	959	391
710	960	390
711	961	389
712	963	387
713	964	386
714	965	384
715	966	383
716	967	382
717	969	380
718	970	379
719	972	378
720	973	376
721	974	375
722	975	373
723	976	372
724	978	370
725	979	369
726	980	368
727	981	366
728	982	365
729	983	363
730	985	362
731	986	361
732	987	359
733	989	358
734	990	357
735	991	355
736	993	354
737	994	353
738	995	351
739	996	350
740	997	348
741	999	347
742	1000	346
743	1001	344
744	1002	343
745	1004	341
746	1005	340
747	1006	339
748	1008	337
749	1009	336
750	1010	335
751	1011	333
752	1013	332
753	1014	330
754	1015	329
755	1016	328
756	1018	326
757	1019	325
758	1020	324
759	1022	322
760	1023	321
761	1024	320
762	1025	318
763	1027	317
764	1028	316
765	1030	314
766	1031	313
767	1032	311
768	1034	310
769	1035	309
770	1037	308
771	1038	306
772	1039	305
773	1041	304
774	1043	302
775	1044	301
776	1045	300
777	1047	298
778	1048	297
779	1049	295
780	1050	294
781	1051	293
782	1052	291
783	1054	290
784	1055	289
785	1057	287
786	1059	286
787	1060	285
788	1062	284
789	1063	282
790	1064	281
791	1066	279
792	1067	278
793	1068	277
794	1069	275
795	1071	274
796	1072	273
797	1074	271
798	1075	270
799	1076	269
800	1077	267
801	1079	266
802	1080	265
803	1081	263
804	1083	262
805	1084	261
806	1085	259
807	1087	258
808	1088	257
809	1090	255
810	1092	254
811	1093	253
812	1094	251
813	1096	250
814	1097	249
815	1098	247
816	1100	246
817	1101	245
818	1103	243
819	1105	242
820	1106	241
821	1108	240
822	1109	238
823	1111	237
824	1112	235
825	1114	234
826	1116	233
827	1117	232
828	1119	230
829	1120	229
830	1122	228
831	1123	226
832	1124	225
833	1126	224
834	1127	222
835	1128	221
836	1129	220
837	1130	218
838	1132	217
839	1133	215
840	1134	214
841	1136	213
842	1137	211
843	1138	210
844	1139	209
845	1141	207
846	1142	206
847	1143	205
848	1145	203
849	1146	202
850	1147	200
851	1148	199
852	1149	198
853	1151	196
854	1152	195
855	1153	194
856	1154	192
857	1155	191
858	1157	189
859	1158	188
860	1159	187
861	1161	185
862	1162	184
863	1163	183
864	1165	181
865	1166	180
866	1167	179
867	1169	177
868	1170	176
869	1171	175
870	1172	173
871	1173	172
872	1175	170
873	1176	169
874	1177	168
875	1179	166
876	1180	165
877	1182	164
878	1183	162
879	1185	161
880	1186	160
881	1187	158
882	1188	157
883	1189	156
884	1191	154
885	1192	153
886	1193	152
887	1195	150
888	1196	149
889	1197	147
890	1198	146
891	1199	145
892	1201	143
893	1202	142
894	1203	141
895	1205	139
896	1206	138
897	1207	137
898	1209	135
899	1210	134
900	1211	133
901	1212	131
902	1214	130
903	1215	129
904	1216	127
905	1217	126
906	1218	124
907	1220	123
908	1221	122
909	1223	120
910	1224	119
911	1225	118
912	1227	116
913	1228	115
914	1229	114
915	1231	112
916	1232	111
917	1233	110
918	1235	108
919	1236	107
920	1237	106
921	1239	104
922	1240	103
923	1241	102
924	1243	100
925	1244	99
926	1245	98
927	1247	96
928	1248	95
929	1249	94
930	1251	92
931	1252	91
932	1254	90
933	1256	88
934	1257	87
935	1259	86
936	1260	84
937	1261	83
938	1262	82
939	1264	80
940	1265	79
941	1266	77
942	1267	76
943	1269	75
944	1270	73
945	1272	72
946	1273	71
947	1275	69
948	1276	68
949	1277	67
950	1279	65
951	1280	64
952	1281	63
953	1283	61
954	1284	60
955	1286	59
956	1288	57
957	1289	56
958	1291	55
959	1292	53
960	1293	52
961	1295	51
962	1298	49
963	1300	48
964	1301	47
965	1302	45
966	1304	44
967	1305	43
968	1306	41
969	1307	40
970	1308	39
971	1310	37
972	1311	36
973	1313	35
974	1314	33
975	1316	32
976	1317	31
977	1319	29
978	1320	28
979	1321	26
980	1322	25
981	1324	24
982	1325	22
983	1327	21
984	1328	20
985	1329	18
986	1330	17
987	1333	16
988	1334	14
989	1335	13
990	1336	12
991	1338	10
992	1339	9
993	1340	8
994	1342	6
995	1343	5
996	1344	4
997	1345	2
998	1347	1
999	1348	0
