iter	Logloss
216	0.3870006194
217	0.3867917271
218	0.3866283774
219	0.3863458558
220	0.3861748992
221	0.385893207
222	0.3855293781
223	0.3853371162
224	0.3850524443
225	0.3848757274
226	0.3847091517
227	0.3842764979
228	0.3840570788
229	0.3838171442
230	0.3835977058
231	0.3832929056
232	0.3830600418
233	0.3827789517
234	0.3826359819
235	0.3825417483
236	0.3822511413
237	0.3820957565
238	0.3819457935
239	0.3814174476
240	0.3808712252
241	0.3806865315
242	0.3804020337
243	0.3802213853
244	0.3799363004
245	0.3797974743
246	0.3796039887
247	0.3793975706
248	0.3791868108
249	0.3790152676
250	0.3787931167
251	0.3784502358
252	0.3783062601
253	0.3781792503
254	0.3779388435
255	0.3777218159
256	0.37749262
257	0.3773293177
258	0.3768610443
259	0.3766652615
260	0.3763734589
261	0.3761857588
262	0.3759465501
263	0.3756051772
264	0.3754446818
265	0.3753123083
266	0.375253262
267	0.3750609561
268	0.3748958628
269	0.3746755958
270	0.3744311466
271	0.3742522727
272	0.3740843076
273	0.3736331261
274	0.3734613921
275	0.3732931468
276	0.3730181326
277	0.3729097352
278	0.3727095208
279	0.3722875797
280	0.3721737812
281	0.3720185064
282	0.3719077103
283	0.3717904327
284	0.3716185291
285	0.3714667859
286	0.3712118852
287	0.3710381431
288	0.3709360508
289	0.3704997432
290	0.3704052877
291	0.3703030761
292	0.370187534
293	0.3700467823
294	0.3697784404
295	0.3697695776
296	0.3696330433
297	0.3694806598
298	0.3691964498
299	0.368969963
300	0.3688380311
301	0.3686474412
302	0.3685173224
303	0.3683339109
304	0.3682218852
305	0.3679775563
306	0.3678923004
307	0.3677471785
308	0.3676194105
309	0.3674674761
310	0.367329648
311	0.3672296403
312	0.3671902072
313	0.3669859388
314	0.3667745031
315	0.3666244637
316	0.3662696717
317	0.3660723387
318	0.3659020426
319	0.3654721369
320	0.3653437517
321	0.3652340045
322	0.3651064571
323	0.3649035234
324	0.3646205738
325	0.3645045258
326	0.3643772166
327	0.3641556475
328	0.3639667143
329	0.3638943467
330	0.3637606145
331	0.3636214845
332	0.3634551139
333	0.3633315982
334	0.3631141793
335	0.362966537
336	0.3628576947
337	0.3627733266
338	0.3623416255
339	0.362187571
340	0.3620427182
341	0.3618291829
342	0.3614670584
343	0.3613724941
344	0.3610921304
345	0.3609048987
346	0.3607881157
347	0.3605107778
348	0.3604357577
349	0.360310952
350	0.3601603562
351	0.3600164819
352	0.3599492774
353	0.3598308427
354	0.3596395876
355	0.3594109624
356	0.3592090671
357	0.359069825
358	0.3589903549
359	0.3588614256
360	0.3586406447
361	0.3584807914
362	0.3583901448
363	0.3582393274
364	0.3580802787
365	0.3578100435
366	0.3576237771
367	0.3574110422
368	0.3573337495
369	0.3572013649
370	0.3570856116
371	0.3570042503
372	0.3569190806
373	0.356744878
374	0.3565087108
375	0.3563840915
376	0.3562025838
377	0.356072225
378	0.3559511309
379	0.355757764
380	0.3555904457
381	0.3552135306
382	0.355036688
383	0.3549085014
384	0.3547821728
385	0.3546708942
386	0.3545141255
387	0.3543131019
388	0.3541919199
389	0.3540579346
390	0.3538357656
391	0.3536865682
392	0.3535477483
393	0.353405471
394	0.3532329779
395	0.35313501
396	0.3529898125
397	0.352890674
398	0.352757238
399	0.3526178359
400	0.3524086291
401	0.3522204589
402	0.3521183601
403	0.3519218923
404	0.3517691457
405	0.3515216115
406	0.3514137253
407	0.3512492266
408	0.3511660098
409	0.3509942393
410	0.3508442813
411	0.3507306877
412	0.3503805373
413	0.3500571885
414	0.3498826757
415	0.3497417534
416	0.3495914531
417	0.3495154909
418	0.3493618111
419	0.3492459849
420	0.3490274253
421	0.3488678731
422	0.348732097
423	0.3486366997
424	0.3485322256
425	0.348412868
426	0.3482998597
427	0.3482225013
428	0.3480518419
429	0.3479427565
430	0.3478500264
431	0.3476925965
432	0.3475879217
433	0.3474401314
434	0.3472699847
435	0.3470683888
436	0.3469718291
437	0.34674012
438	0.3465576365
439	0.3464601414
440	0.3463245916
441	0.3460314589
442	0.3458214729
443	0.3457016501
444	0.3456220673
445	0.3454108121
446	0.3452677757
447	0.345101178
448	0.3449738273
449	0.3447243828
450	0.3445876629
451	0.3444884685
452	0.3442934379
453	0.3441966439
454	0.3440210314
455	0.3439155325
456	0.3436359743
457	0.3434996244
458	0.3433472827
459	0.3431270579
460	0.3429194791
461	0.3427596783
462	0.3426874419
463	0.3425452919
464	0.3423761934
465	0.3421782075
466	0.3420098807
467	0.3418969436
468	0.3417874526
469	0.3416855998
470	0.3415408683
471	0.3414248076
472	0.3413284225
473	0.3411860872
474	0.3409905736
475	0.3408365201
476	0.3406856241
477	0.3405798033
478	0.3404893352
479	0.3403635613
480	0.3401650611
481	0.3400050919
482	0.3398150539
483	0.3396770058
484	0.3395602357
485	0.3393967737
486	0.3393094691
487	0.3391655072
488	0.3390076213
489	0.3388362371
490	0.3386390127
491	0.3384419372
492	0.3383450301
493	0.3381881777
494	0.3380867874
495	0.3379052511
496	0.3377726773
497	0.3376872559
498	0.3375703991
499	0.3375105568
500	0.3373880022
501	0.3372517583
502	0.3370310196
503	0.3367794158
504	0.3366513425
505	0.3364854201
506	0.3363351964
507	0.3361394125
508	0.3360108332
509	0.3359227304
510	0.3358457402
511	0.3357007247
512	0.3355379676
513	0.3353602404
514	0.3352097324
515	0.3350017658
516	0.3348337149
517	0.3347487764
518	0.3345383446
519	0.3344055936
520	0.3342532984
521	0.3341247352
522	0.333967402
523	0.3337894723
524	0.3336742263
525	0.3335765474
526	0.3334073258
527	0.3332748651
528	0.3331547161
529	0.3329575384
530	0.3328507514
531	0.3326927931
532	0.3325339449
533	0.3323630046
534	0.332279776
535	0.3320816682
536	0.3319739492
537	0.3317781457
538	0.3316900909
539	0.331560629
540	0.3313837719
541	0.3312143451
542	0.3311139964
543	0.3309240918
544	0.3307482236
545	0.3306298319
546	0.3305010986
547	0.330412393
548	0.3303168924
549	0.330083814
550	0.3298929278
551	0.3298116379
552	0.3296277123
553	0.3294672885
554	0.3293688921
555	0.3292734958
556	0.3291673815
557	0.329013179
558	0.3287881074
559	0.3285122301
560	0.3283284142
561	0.3280861314
562	0.3278898963
563	0.3277365053
564	0.3275858863
565	0.3274217438
566	0.3273039314
567	0.3272205076
568	0.3270079028
569	0.3268983048
570	0.3268090052
571	0.3266996374
572	0.3265574453
573	0.3263891469
574	0.3261778173
575	0.3260324349
576	0.3259395251
577	0.3258056884
578	0.3256432615
579	0.3254995375
580	0.325370682
581	0.3252071825
582	0.3251196455
583	0.324963355
584	0.3248238556
585	0.3247298301
586	0.3245952418
587	0.3244821077
588	0.3243396946
589	0.3242027221
590	0.3241171519
591	0.3238780145
592	0.3236657808
593	0.3235894622
594	0.3234825843
595	0.3233687215
596	0.3232711618
597	0.3231836287
598	0.3230869344
599	0.3229619999
600	0.3228085705
601	0.3227033444
602	0.3226002532
603	0.3224818768
604	0.3223992835
605	0.3222961537
606	0.3222269938
607	0.3221236199
608	0.3219613089
609	0.3218628301
610	0.3216955366
611	0.3214774452
612	0.3213325787
613	0.3212566442
614	0.3211720951
615	0.3209800131
616	0.3207529443
617	0.3206387102
618	0.320571055
619	0.3204259282
620	0.3203239451
621	0.320181311
622	0.3199902429
623	0.3197656137
624	0.3196858237
625	0.319490405
626	0.3193998419
627	0.3192786786
628	0.3191825257
629	0.3190409876
630	0.3188980615
631	0.3187073394
632	0.3186261047
633	0.3185474031
634	0.3183541886
635	0.3181716644
636	0.3180839696
637	0.3179630957
638	0.3178152942
639	0.3176534397
640	0.3174881718
641	0.3172736897
642	0.3171363708
643	0.3169696863
644	0.3167534654
645	0.31649895
646	0.3163505142
647	0.3162065919
648	0.3159989657
649	0.3158275416
650	0.315734222
651	0.3155518281
652	0.3153241817
653	0.3151694319
654	0.3150810113
655	0.3149584336
656	0.3148088872
657	0.3146338663
658	0.3145757045
659	0.3144218724
660	0.3143133842
661	0.3142167636
662	0.3141401429
663	0.3138876975
664	0.3137962798
665	0.3136494784
666	0.3135573118
667	0.3133868902
668	0.313235863
669	0.3131835619
670	0.3130819773
671	0.3129187298
672	0.3127565275
673	0.3125534522
674	0.3123420738
675	0.312248227
676	0.3120138199
677	0.3119346516
678	0.3118807149
679	0.3117552691
680	0.3115808159
681	0.3115150929
682	0.311443383
683	0.3112139518
684	0.3109900037
685	0.3108723308
686	0.3107766538
687	0.3106839775
688	0.310598793
689	0.3104693659
690	0.3103856385
691	0.3102585936
692	0.3100989344
693	0.3099350861
694	0.3098568188
695	0.3097151595
696	0.3095483437
697	0.30940637
698	0.3093068485
699	0.3091910555
700	0.3090766399
701	0.3090244946
702	0.3089747112
703	0.3088307875
704	0.3087198717
705	0.3086713823
706	0.3085667567
707	0.3083936237
708	0.3083095549
709	0.3082091286
710	0.3080494956
711	0.3078623567
712	0.3077188675
713	0.3076149322
714	0.3075550381
715	0.3074127935
716	0.3073505282
717	0.3072785764
718	0.307171767
719	0.307105488
720	0.3069080515
721	0.3067633845
722	0.3066292275
723	0.3064622974
724	0.3062750909
725	0.3061221708
726	0.306051944
727	0.3059413421
728	0.3057495303
729	0.3056180227
730	0.3054892637
731	0.3053251877
732	0.3052121977
733	0.3051287327
734	0.3049757716
735	0.3048821063
736	0.3047225442
737	0.3045825676
738	0.3043583343
739	0.3043012332
740	0.3042020874
741	0.3040120425
742	0.3039365243
743	0.3038496323
744	0.303758168
745	0.3036127595
746	0.3034137981
747	0.3032554413
748	0.3031121538
749	0.3030339474
750	0.3029570782
751	0.3028343468
752	0.3027451122
753	0.3025752705
754	0.3024423186
755	0.302369112
756	0.3022805924
757	0.3021378076
758	0.3020213697
759	0.3018724419
760	0.3017634156
761	0.3015603034
762	0.3013824405
763	0.3011947398
764	0.3009994996
765	0.3009290418
766	0.3007175864
767	0.3005452827
768	0.3004906462
769	0.3003349737
770	0.3002860647
771	0.3001768671
772	0.3000535947
773	0.2999584813
774	0.2998630089
775	0.2997742542
776	0.2996098829
777	0.2995000775
778	0.299359765
779	0.2992259913
780	0.2991281232
781	0.2989852929
782	0.2988847234
783	0.29882142
784	0.2986914136
785	0.2986592083
786	0.2984443628
787	0.2982827314
788	0.2981722066
789	0.2980229367
790	0.2978657678
791	0.2977204966
792	0.2976124829
793	0.2974799057
794	0.2973880224
795	0.2972840206
796	0.2971315141
797	0.2970463483
798	0.2969087586
799	0.2967957729
800	0.2966054042
801	0.2964957871
802	0.2963323302
803	0.2961335163
804	0.2960337351
805	0.295901065
806	0.2957776182
807	0.2956775861
808	0.2955423492
809	0.2954705459
810	0.2954124642
811	0.2952820488
812	0.2952074412
813	0.2951125668
814	0.2949730166
815	0.2948270235
816	0.2947384813
817	0.2946571579
818	0.2945805531
819	0.2945047562
820	0.2943960565
821	0.2943188296
822	0.2942115463
823	0.2940632664
824	0.2939644688
825	0.2938744703
826	0.2938114632
827	0.2936774086
828	0.2935401402
829	0.2934371221
830	0.293322991
831	0.2931950124
832	0.2930519176
833	0.2929603419
834	0.2927767855
835	0.2927004313
836	0.2926039877
837	0.2924922831
838	0.2924253737
839	0.2923373825
840	0.2922399715
841	0.2921338764
842	0.2920226494
843	0.291818191
844	0.2916543753
845	0.2915796376
846	0.2914548699
847	0.2913309839
848	0.2912465597
849	0.2911039939
850	0.2909673323
851	0.2908895335
852	0.2907522625
853	0.2907000269
854	0.290568045
855	0.2904316716
856	0.290302482
857	0.2902192012
858	0.2901470595
859	0.2900680582
860	0.2900107321
861	0.2898937072
862	0.2897905856
863	0.2896848486
864	0.2895154579
865	0.2893839512
866	0.2893427962
867	0.2892408508
868	0.2891135652
869	0.2890100811
870	0.2888735455
871	0.2887135331
872	0.2885858008
873	0.2884465901
874	0.2883466612
875	0.2881947974
876	0.2881499503
877	0.2880421121
878	0.2879648389
879	0.2878902558
880	0.2878066277
881	0.287678252
882	0.2875610053
883	0.2873818412
884	0.2872720072
885	0.2871599317
886	0.2870030367
887	0.2869627682
888	0.2868660836
889	0.286744508
890	0.2866541854
891	0.286537462
892	0.286475355
893	0.2863601959
894	0.2862939906
895	0.2862716692
896	0.2861565681
897	0.286072772
898	0.2859661819
899	0.2858694672
900	0.2857161008
901	0.2856002899
902	0.2854089098
903	0.2853217102
904	0.2852039437
905	0.2851187239
906	0.284979578
907	0.2848529161
908	0.2847341881
909	0.2846302152
910	0.2845225764
911	0.2844089921
912	0.2843103968
913	0.2842077224
914	0.2841287116
915	0.2840238474
916	0.2839322144
917	0.2838771895
918	0.2838157465
919	0.283691664
920	0.2835374112
921	0.2834206794
922	0.2833250104
923	0.2831730983
924	0.2830633162
925	0.282928308
926	0.282804701
927	0.2826829358
928	0.2825417626
929	0.2824661461
930	0.282368632
931	0.282295067
932	0.2822527026
933	0.2821667926
934	0.2820489133
935	0.2819259936
936	0.2818347626
937	0.2816886368
938	0.2816446445
939	0.2816105058
940	0.281510325
941	0.2814010901
942	0.281274955
943	0.2812280836
944	0.2811670557
945	0.2811144637
946	0.2810463936
947	0.2809232252
948	0.2808519876
949	0.2807161778
950	0.2806567684
951	0.2805234335
952	0.2804158386
953	0.2802603461
954	0.2801697348
955	0.2800744584
956	0.2799946449
957	0.2799076575
958	0.2798382833
959	0.2797151177
960	0.2795791769
961	0.279471735
962	0.2792981827
963	0.2792320663
964	0.2791278277
965	0.2790182855
966	0.2789006063
967	0.2787726663
968	0.2786826557
969	0.2786260748
970	0.2785906226
971	0.278519447
972	0.2784386978
973	0.2783855735
974	0.2782308439
975	0.2781468852
976	0.2780475504
977	0.2779658924
978	0.2778675398
979	0.2777343294
980	0.2776642832
981	0.2775899763
982	0.2775093355
983	0.2774175369
984	0.2773397429
985	0.2772044508
986	0.277037675
987	0.2769206778
988	0.2768213008
989	0.276644557
990	0.2765772363
991	0.2764291513
992	0.2763554202
993	0.2762825306
994	0.2762427681
995	0.2761688636
996	0.2760699118
997	0.275975417
998	0.275911817
999	0.2757649715
